EXECUTIVE SUMMARY,,,,
Report Name:,Nov report,,,
Analysis Period:,2024-10-01 to 2024-11-07,,,
Generated:,"January 04, 2025 13:40",,,
Author:,kennyd,,,
Last Modified:,"January 04, 2025 13:40",,,
,,,,
FINANCIAL HIGHLIGHTS,,,,
Key Performance Indicators,Amount ($),% of Revenue,YoY Change,Notes
Total Revenue,"8,900.00",100.00%,N/A,Consolidated revenue across all streams
Cost of Services,500.00,5.62%,N/A,Direct service delivery costs
Gross Margin,"8,400.00",94.38%,N/A,Revenue less direct costs
Operating Expenses,"1,000.00",11.24%,N/A,Operational overhead
Net Profit,"7,400.00",83.15%,N/A,Final profit after all deductions
,,,,
REVENUE ANALYSIS,,,,
Revenue Stream,Amount ($),Transaction Volume,Avg. Transaction ($),Share of Revenue
,"8,900.00",13,684.62,100.00%
,,,,
OPERATIONAL METRICS,,,,
Category,Current Value,Target,Status,Impact
Inventory Management,,,,
Total Stock Value,"$9,600.00",Variable,- Not Available,Working Capital
Low Stock Items,0,0,✓ On Target,Service Level
Customer Metrics,,,,
Active Customers,1,Growing,- Not Available,Market Share
Avg. Order Value,$712.50,Growing,- Not Available,Revenue Growth
,,,,
