Report Metadata
Name,Description,Created By,Created At,Last Modified,Is Archived,Is Template
Copy of Simple PDF Template,A basic template for generating PDF reports,kennyd,2024-09-28 16:23:30.763684+00:00,2024-09-28 16:23:30.763766+00:00,False,False

Report Entries
Title,Content,Order,Created By,Created At
Generated CSV Report,Automatically generated CSV report,0,kennyd,2024-12-13 07:48:44.355482+00:00
Generated EXCEL Report,Automatically generated EXCEL report,0,kennyd,2024-12-13 07:48:48.544901+00:00
Introduction,This is an introduction to the report.,1,kennyd,2024-09-28 16:23:30.780278+00:00
Main Content,This is the main content of the report.,2,kennyd,2024-09-28 16:23:30.793135+00:00
Conclusion,This is the conclusion of the report.,3,kennyd,2024-09-28 16:23:30.810755+00:00

Associated Files
Entry Title,File Name,File Type,Uploaded By,Uploaded At
Generated CSV Report,reports/3/18/20241213_074844_3_18.csv,csv,kennyd,2024-12-13 07:48:44.376252+00:00
Generated EXCEL Report,reports/3/19/20241213_074848_3_19.xlsx,excel,kennyd,2024-12-13 07:48:48.560317+00:00
